"","x1","status","year","month","day","name","alt_name_number_1","alt_name_number_2","alt_name_number_3","order","victims_race","victims_sex","victims_age","fips_lynch","lynch_county","lynch_state","fips_mob","mob_county","mob_state","method_of_death","accusation","accusation_code","mob_size","mob_size_code","appalachia","brundage_inventory","caldwell_de_lord","carrigan","carrigan_webb","chicago_tribune","comp_of_mob","creation","custody","daniel_williams_tuskegee","eji","horrific_torture","jones","modified","moore","naacp","newkirk","notable","notes","orr_klopfer","other","pfeifer","photo","place","post_mort_codes","post_mort_desc","problem_flag","resident_status","time_of_lynching","tolnay_beck","torture","torture_codes","verification","verified","wright","status_clean","decade"
"4517",4517,"Lynching",1879,10,10,"Charley —","Charles —",NA,NA,"1 of 3","Black","Male",NA,48147,"Fannin","TX",48147,"Fannin","TX","Riddled with bullets","Altercation with a white man; assaulting a white man","7","“a party”",1,NA,"INAP","Charley, 10/11/1879, Black, Dallas County, Unknown offense, Shot","Not in Carrigan inventory","Carrigan-Webb inventory excludes non-Mexicans and those of non-Mexican descent","Chicago Tribune inventory covers the years 1882-1918",NA,"08/04/2018",NA,"Williams inventory covers the years 1882-1947","Not in EJI inventory",0,"INAP","04/29/2020 10:19:36","INAP","NAACP Thirty Years of Lynching covers the years 1889-1918, with 1919 in appendix","INAP",NA,"The News reports, dateline Dallas, 11 October, “Particulars of a Fannin county horror, resulting in the outrageous murder of the negress Easter and her young boy, and the dangerous wounding of her little girl, are gathered from conflicting and and fragmentary reports current in the county. Easter was a renter on John Aldridge’s farm, four miles from Orangeville. The day previous to the butchery her son Charley and two freedmen made an attack upon George Aldridge, who had charged one of them with theft, and but for the timely appearance of two white men would have beaten Aldridge. At 2 the following morning the house of Easter was visited by an armed party, who called for Charley; upon refusal to open the door the house was fired into, wounding the girl in the forehead. A freedman, Charley Justice, who was staying with the family, fired though the crack of the cabin, shooting one of the attacking party in the stomach. ... [the mob broke into the cabin] ... The ruffians, disguised by tying hankerkerchiefs over their faces, forced the old woman and children to come out; drove them off a trail; securing John Washington, another freedman, from an adjoining cabin, and were leading them in a southeastern direction, when Washington and the two boys  escaped, reaching a tree. The mode of death was debated and shooting determined upon . Charley was shot first, five bullets entering his back. Easter ran, some distance before she fell, her right breast being riddled with buckshot and balls. George Aldridge and Thomas Fullerton were arrested .... On the examining trial they were held in $2000 bail; in default of which they were committed to jail at Bonham. The morning after the butchery, Samuel Gilley was found fatally shot though the abdomen, which he claims to have accidentally done himself awhile out hunting. He has since died.” The Banner reports, “—A negro woman named Easter, and her young boy were were brutally murdered and her daughter shot and wounded near Orangeville, Fannin county, a few days ago. The murderers were committed by masked men and grew out of the woman being a witness. Two men were arrested and in default of $2000 bonds each were committed to the Bonham jail.” From the Messenger, “—A negro family, consisting of an old negress named Esther, her son, Charles, a young boy, a girl, and other children, rented, worked and occupied a cabin on a farm of John Aldridge, four miles from Orangeville, in Fannin County, Texas. George Aldridge, a son of John, accused Charley, Esther’s son, with stealing, when Charley and two other negroes attempted an assault on Aldridge, but were prevented by two white men. At midnight, old Esther’s house was surrounded by a party of armed and masked men. They called for Charley, but were refused admittance, when the maskers fired into the house, wounding Esther’s daughter in the forehead. Charles Justice, another negro who lived in the family, returned the fire, hitting one of the maskers, Samuel Gilley, in the stomach wounded him mortally. The maskers then became furious and went to breaking down the door, when Justice escaped by climbing through a hole in the roof. John Washington and two boys also escaped in the darkness. The masked men then forced old Esther and her children to come out, and as they did so, fired upon them, killing both Old Esther and her son Charley. George Aldridge and Thomas Fullerton were arrested, charged with Being members of the party, and were jail, in default of $2,000 bail.” Essentially the same story appears in the Bulletin. In the Repository account, the lyncher killed is Samuel Gitley and that he died soon after being shot.

Note: the date when his happened is not clear; possibly the 10th or earlier. Going to assume the 10th. Couldn’t find any follow-up.","INAP","LynchinginTexas.org inventory covers the years 1882-1936","INAP",NA,"4 miles from Orangeville","0","None reported",NA,"No indication of being a stranger or marginalized","2:00 AM","Original Tolnay-Beck inventory did not include Texas","None reported","0","Galveston Daily News 10/12/1879, p. 1 (Newspapers.com)
Canton (OH) Repository 10/14/1879, p. 1 (GenealogyBank.com)
Brenham Southern Banner 10/17/1879, p. 3 (GenealogyBank.com)
Marshall Messenger 10/24/1879, p. 4 (Newspapers.com)
Bolivar (TN) Bulletin 10/30/1879, p. 5 (GenealogyBank.com)","Yes","INAP","lynching","1870"
"4518",4518,"Lynching",1879,10,10,"Easter —","Esther —",NA,NA,"2 of 3","Black","Female","Old",48147,"Fannin","TX",48147,"Fannin","TX","Riddled with bullets","Mother of a man who had an altercation with a white man; assaulting a white man","6","“a party”",1,NA,"INAP","Esther, 10/11/1879, Black, Dallas County, Unknown offense, Shot","Not in Carrigan inventory","Carrigan-Webb inventory excludes non-Mexicans and those of non-Mexican descent","Chicago Tribune inventory covers the years 1882-1918","Masked","08/04/2018",NA,"Williams inventory covers the years 1882-1947","Not in EJI inventory",0,"INAP","04/29/2020 10:19:36","INAP","NAACP Thirty Years of Lynching covers the years 1889-1918, with 1919 in appendix","INAP",NA,"The News reports, dateline Dallas, 11 October, “Particulars of a Fannin county horror, resulting in the outrageous murder of the negress Easter and her young boy, and the dangerous wounding of her little girl, are gathered from conflicting and and fragmentary reports current in the county. Easter was a renter on John Aldridge’s farm, four miles from Orangeville. The day previous to the butchery her son Charley and two freedmen made an attack upon George Aldridge, who had charged one of them with theft, and but for the timely appearance of two white men would have beaten Aldridge. At 2 the following morning the house of Easter was visited by an armed party, who called for Charley; upon refusal to open the door the house was fired into, wounding the girl in the forehead. A freedman, Charley Justice, who was staying with the family, fired though the crack of the cabin, shooting one of the attacking party in the stomach. ... [the mob broke into the cabin] ... The ruffians, disguised by tying hankerkerchiefs over their faces, forced the old woman and children to come out; drove them off a trail; securing John Washington, another freedman, from an adjoining cabin, and were leading them in a southeastern direction, when Washington and the two boys  escaped, reaching a tree. The mode of death was debated and shooting determined upon . Charley was shot first, five bullets entering his back. Easter ran, some distance before she fell, her right breast being riddled with buckshot and balls. George Aldridge and Thomas Fullerton were arrested .... On the examining trial they were held in $2000 bail; in default of which they were committed to jail at Bonham. The morning after the butchery, Samuel Gilley was found fatally shot though the abdomen, which he claims to have accidentally done himself awhile out hunting. He has since died.” The Banner reports, “—A negro woman named Easter, and her young boy were were brutally murdered and her daughter shot and wounded near Orangeville, Fannin county, a few days ago. The murderers were committed by masked men and grew out of the woman being a witness. Two men were arrested and in default of $2000 bonds each were committed to the Bonham jail.” From the Messenger, “—A negro family, consisting of an old negress named Esther, her son, Charles, a young boy, a girl, and other children, rented, worked and occupied a cabin on a farm of John Aldridge, four miles from Orangeville, in Fannin County, Texas. George Aldridge, a son of John, accused Charley, Esther’s son, with stealing, when Charley and two other negroes attempted an assault on Aldridge, but were prevented by two white men. At midnight, old Esther’s house was surrounded by a party of armed and masked men. They called for Charley, but were refused admittance, when the maskers fired into the house, wounding Esther’s daughter in the forehead. Charles Justice, another negro who lived in the family, returned the fire, hitting one of the maskers, Samuel Gilley, in the stomach wounded him mortally. The maskers then became furious and went to breaking down the door, when Justice escaped by climbing through a hole in the roof. John Washington and two boys also escaped in the darkness. The masked men then forced old Esther and her children to come out, and as they did so, fired upon them, killing both Old Esther and her son Charley. George Aldridge and Thomas Fullerton were arrested, charged with Being members of the party, and were jail, in default of $2,000 bail.” Essentially the same story appears in the Bulletin. In the Repository account, the lyncher killed is Samuel Gitley and that he died soon after being shot.

Note: the date when his happened is not clear; possibly the 10th or earlier. Going to assume the 10th. Couldn’t find any follow-up.","INAP","LynchinginTexas.org inventory covers the years 1882-1936","INAP",NA,"4 miles from Orangeville","0","None reported",NA,"No indication of being a stranger or marginalized","2:00 AM","Original Tolnay-Beck inventory did not include Texas","None reported","0","Galveston Daily News 10/12/1879, p. 1 (Newspapers.com)
Canton (OH) Repository 10/14/1879, p. 1 (GenealogyBank.com)
Brenham Southern Banner 10/17/1879, p. 3 (GenealogyBank.com)
Marshall Messenger 10/24/1879, p. 4 (Newspapers.com)
Bolivar (TN) Bulletin 10/30/1879, p. 5 (GenealogyBank.com)","Yes","INAP","lynching","1870"
"4519",4519,"Possible lynching",1879,10,10,"Jesse Underwood",NA,NA,NA,"1 of 1","White-Anglo","Male",NA,21043,"Carter","KY",21043,"Carter","KY","Shot","Murder; a feud","4","“a party”",1,"Yes","INAP","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918",NA,"07/09/2015",NA,"Williams inventory covers the years 1882-1934","EJI inventory excludes non-black victims",0,"INAP","08/14/2020 16:54:00","INAP","NAACP Thirty Years of Lynching covers the years 1889-1918, with 1919 in appendix","INAP",NA,"The Weekly reprints a report that appeared in the Maysville (KY) Eagle, “A Horrible Record. The Story of the Underwood Vendetta in Carter County.” There is much detail on a variety of murders which involved members of the Underwood and Holbrook clans. From the Record, “News has reached Cincinnati that the notorious Jesse Underwood was shot in the door of his father’s house, known as Fort Underwood, in Carter county, Kentucky, on Friday the 10th and died of his wounds on Saturday [11th] morning.” The Courier gives multiple reports of the murder of Jesse Underwood and writes the Jesse was shot at noon on Friday “by the Holbrook party” and died on Sunday [12th] morning, “... which leaves George Underwood [father] as the only survivor of that unfortunately family.”, and notes “This [Jesse’s murder] makes the fourth death on the Underwood and one on the Holbrooks side in three weeks, yet nothing has been done until to-day on the part of the authorities to check this wholesale slaughter.” The Star has a very long accounting of the Underwood-Holbrook feud, and various murders and assassinations. On “Friday afternoon, the 10th” George Underwood, Jesse’s father, was shot from ambush, later Jesse was shot also by ambush—actually Jesse was shot first and George was shot later on the 13th.

Note: Jesse Underwood was threatened with lynching on 9 January 1878 in Lewis Co. It is unclear how many killers.","INAP",NA,"INAP",NA,NA,"0","None reported",NA,"No indication of being a stranger or marginalized",NA,"Original Tolnay-Beck inventory covers the years 1882-1930","None reported","0","Junction City (KS) Weekly 9/27/1879, p. 6 (Newspapers.com)
Louisville Courier-Journal 10/15/1879, p. 1 (Newspapers.com)
Hickman Courier 10/17/1879, p. 4 (Newspapers.com)
Pittsboro (NC) Chatham Record 10/23/1879, p. 2 (Newspapers.com)
Chicago (IL) Daily Tribune 11/11/1879, p. 5 (Newspapers.com)
Marion (OH) Star 11/25/1879, p. 2, 3 (Newspapers.com)
","Yes","Not in Wright inventory","possible lynching","1870"
"4520",4520,"Coincidental death",1879,10,10,"Samuel Gilley","Samuel Gitley",NA,NA,"3 of 3","Black","Male",NA,48147,"Fannin","TX",48147,"Fannin","TX","Shot","Member of a lynch mob","4","“a party”",1,NA,"INAP","Esther, 10/11/1879, Black, Dallas County, Unknown offense, Shot","Not in Carrigan inventory","Carrigan-Webb inventory excludes non-Mexicans and those of non-Mexican descent","Chicago Tribune inventory covers the years 1882-1918",NA,"08/04/2018",NA,"Williams inventory covers the years 1882-1947","Not in EJI inventory",0,"INAP","04/29/2020 10:19:36","INAP","NAACP Thirty Years of Lynching covers the years 1889-1918, with 1919 in appendix","INAP",NA,"The News reports, dateline Dallas, 11 October, “Particulars of a Fannin county horror, resulting in the outrageous murder of the negress Easter and her young boy, and the dangerous wounding of her little girl, are gathered from conflicting and and fragmentary reports current in the county. Easter was a renter on John Aldridge’s farm, four miles from Orangeville. The day previous to the butchery her son Charley and two freedmen made an attack upon George Aldridge, who had charged one of them with theft, and but for the timely appearance of two white men would have beaten Aldridge. At 2 the following morning the house of Easter was visited by an armed party, who called for Charley; upon refusal to open the door the house was fired into, wounding the girl in the forehead. A freedman, Charley Justice, who was staying with the family, fired though the crack of the cabin, shooting one of the attacking party in the stomach. ... [the mob broke into the cabin] ... The ruffians, disguised by tying hankerkerchiefs over their faces, forced the old woman and children to come out; drove them off a trail; securing John Washington, another freedman, from an adjoining cabin, and were leading them in a southeastern direction, when Washington and the two boys  escaped, reaching a tree. The mode of death was debated and shooting determined upon . Charley was shot first, five bullets entering his back. Easter ran, some distance before she fell, her right breast being riddled with buckshot and balls. George Aldridge and Thomas Fullerton were arrested .... On the examining trial they were held in $2000 bail; in default of which they were committed to jail at Bonham. The morning after the butchery, Samuel Gilley was found fatally shot though the abdomen, which he claims to have accidentally done himself awhile out hunting. He has since died.” The Banner reports, “—A negro woman named Easter, and her young boy were were brutally murdered and her daughter shot and wounded near Orangeville, Fannin county, a few days ago. The murderers were committed by masked men and grew out of the woman being a witness. Two men were arrested and in default of $2000 bonds each were committed to the Bonham jail.” From the Messenger, “—A negro family, consisting of an old negress named Esther, her son, Charles, a young boy, a girl, and other children, rented, worked and occupied a cabin on a farm of John Aldridge, four miles from Orangeville, in Fannin County, Texas. George Aldridge, a son of John, accused Charley, Esther’s son, with stealing, when Charley and two other negroes attempted an assault on Aldridge, but were prevented by two white men. At midnight, old Esther’s house was surrounded by a party of armed and masked men. They called for Charley, but were refused admittance, when the maskers fired into the house, wounding Esther’s daughter in the forehead. Charles Justice, another negro who lived in the family, returned the fire, hitting one of the maskers, Samuel Gilley, in the stomach wounded him mortally. The maskers then became furious and went to breaking down the door, when Justice escaped by climbing through a hole in the roof. John Washington and two boys also escaped in the darkness. The masked men then forced old Esther and her children to come out, and as they did so, fired upon them, killing both Old Esther and her son Charley. George Aldridge and Thomas Fullerton were arrested, charged with Being members of the party, and were jail, in default of $2,000 bail.” Essentially the same story appears in the Bulletin. In the Repository account, the lyncher killed is Samuel Gitley and that he died soon after being shot.

Note: the date when his happened is not clear; possibly the 10th or earlier. Going to assume the 10th. Couldn’t find any follow-up.","INAP","LynchinginTexas.org inventory covers the years 1882-1936","INAP",NA,"4 miles from Orangeville","0","None reported",NA,"No indication of being a stranger or marginalized","2:00 AM","Original Tolnay-Beck inventory did not include Texas","None reported","0","Galveston Daily News 10/12/1879, p. 1 (Newspapers.com)
Canton (OH) Repository 10/14/1879, p. 1 (GenealogyBank.com)
Brenham Southern Banner 10/17/1879, p. 3 (GenealogyBank.com)
Marshall Messenger 10/24/1879, p. 4 (Newspapers.com)
Bolivar (TN) Bulletin 10/30/1879, p. 5 (GenealogyBank.com)","Yes","INAP","coincidental death","1870"
"4521",4521,"Probable lynching",1879,10,13,"George Underwood",NA,NA,NA,"1 of 1","White-Anglo","Male","60",21043,"Carter","KY",21043,"Carter","KY","Shot","Murder; a feud","4","5",1,"Yes","INAP","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918","Masked","07/09/2015",NA,"Williams inventory covers the years 1882-1934","EJI inventory excludes non-black victims",0,"INAP","08/14/2020 16:54:00","INAP","NAACP Thirty Years of Lynching covers the years 1889-1918, with 1919 in appendix","INAP",NA,"From the Tribune, “Cattlettsburg, Ky., Oct. 9.—On Saturday last your correspondent left Owingsville, Bat [Bath] County, Ky., en route to the scene of the so-called Underwood war in Rowan and Carter Counties. ... [the Underwoods were Unionists and thought to be thieves. Esquire V. Holbrook, a Confederate, was the leader of a vigilance committee who was “recently assassinated.] ... Up to the present time eight men have been killed in that neighborhood, seven of them beyond doubt, in this unnatural and barbarous warfare. The eighth one, Zachariah Hyatt, was murdered [Hayes settlement, 3 miles from Morehead] last Saturday [11th] evening while riding from Morehead to his home, four or five miles distant.... The other parties who have been killed are Alex Pendleton, Robert Glover, George Lewis Underwood, Elverton Underwood, William Wilson, Esquire V. Holbrook, and William Underwood, while several other have been wounded, among them George Underwood Sr., who received the contents of a double-barreled shot gun about three years ago .... but is now hale and hearty, and ready to risk another load of buckshot.” According to the Courier-Journal, dateline Grayson, 14 October, Frank McFerren went to the Underwood home to bury the body of Jesse Underwood who had been shot on the 10th and died on the 12th—see Jesse Underwood record—and to protect the elder George Underwood, but when he arrived he found not only Jesse’s corpse but George’s as well who had been murdered in the night of the 13th.; “... It seems five armed and masked men had then [after killing Jesse Underwood on the 10th] surrounded the fort, and, after promising George Underwood safety for his life, they had entered the house to search it for John Martin and Clabe White, whom they had a suspicion of being sheltered there. They took all the arms, ... and were leaving after an unsuccessful search, when one of the party running on the threshold, aimed his rifle at old George Underwood, and, shooting him through the nipple,e inflicted a wound from which he died in twenty minutes.” Essentially the same report appears in the Ledger.

Note: even though only one person shot Underwood, he was part of a five-man mob. There was an erroneous report of George Underwood being murdered on 11 September. 1870 Carter Co. census lists a George Underwood, 51, born in VA, living in Precinct 4 (Grayson), with sons Harmon 19; Sinnet 17; John, 13, and younger children. Also a George Underwood, 33, born in KY, living in Precinct 4 (Grayson) with David Underwood, 29.","INAP",NA,"INAP",NA,"Near Grayson","0","None reported",NA,"No indication of being a stranger or marginalized","Night","Original Tolnay-Beck inventory covers the years 1882-1930","None reported","0","Chicago (IL) Daily Tribune 10/14/1879, p. 3 (Newspapers.com)
Louisville Courier-Journal 10/15/1879, p. 1 (Newspapers.com)
Memphis (TN) Public Ledger 10/16/1879, p. 1 (Newspapers.com)","Yes","Not in Wright inventory","probable lynching","1870"
"4522",4522,"Lynching",1879,10,20,"John W. Kendell","John W. Kendall","J. W. Kendell",NA,"1 of 2","White-Anglo","Male",NA,21063,"Elliott","KY",21063,"Elliott","KY","Hanged","Being an outlaw","11","200",4,"Yes","INAP","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918",NA,"05/11/2011","Yes","Williams inventory covers the years 1882-1934","EJI inventory excludes non-black victims",0,"INAP","08/14/2020 16:53:02","INAP","NAACP Thirty Years of Lynching covers the years 1889-1918, with 1919 in appendix","INAP",NA,"From the Register, “Cincinnati, October 23.—A special from Grayson, Ky., states that two hundred men rode into Martinsburg, Elliott county, Monday [20th] night, overpowered the jailor and took two prisoners, J. W. Kendell and Wm. McMills, to a tree and hanged them until dead. The men hanged were known to belong to a gang of outlaws.” The Messenger lists the victims as Jno. W. Kendall and Wm. McMilan. The Sentinel lists: John W. Kendall and William McMilian. The Ocean gives the mob size as 200.","INAP",NA,"INAP",NA,"Martinsburg","0","None reported",NA,"No indication of being a stranger but called a gang member by the Register","Night","Original Tolnay-Beck inventory covers the years 1882-1930","None reported","0","St. Albans (VT) Daily Messenger 10/23/1879, p. 1 (GenealogyBank.com)
Wheeling (WV) Register 10/24/1879, p. 1 (GenealogyBank.com)
Indianapolis (IN) Sentinel 10/24/1879, p. 1 (GenealogyBank.com)
Columbus (GA) Daily Enquirer 10/24/1879, p. 1 (Columbus Historic Newspapers)
Chicago (IL) Inter Ocean 10/30/1879, p. 1 (GenealogyBank.com)","Yes","Not in Wright inventory","lynching","1870"
"4523",4523,"Lynching",1879,10,20,"Wm. McMills","Wm. McMilan","William McMillan",NA,"2 of 2","White-Anglo","Male",NA,21063,"Elliott","KY",21063,"Elliott","KY","Hanged","Being an outlaw","11","200",4,"Yes","INAP","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918",NA,"05/11/2011","Yes","Williams inventory covers the years 1882-1934","EJI inventory excludes non-black victims",0,"INAP","08/14/2020 16:53:02","INAP","NAACP Thirty Years of Lynching covers the years 1889-1918, with 1919 in appendix","INAP",NA,"From the Register, “Cincinnati, October 23.—A special from Grayson, Ky., states that two hundred men rode into Martinsburg, Elliott county, Monday [20th] night, overpowered the jailor and took two prisoners, J. W. Kendell and Wm. McMills, to a tree and hanged them until dead. The men hanged were known to belong to a gang of outlaws.” The Messenger lists the victims as Jno. W. Kendall and Wm. McMilan. William McMillan in the Herald. The Sentinel lists: John W. Kendall and William McMilian. The Ocean gives the mob size as 200.","INAP",NA,"INAP",NA,"Martinsburg","0","None reported",NA,"No indication of being a stranger but called a gang member by the Register","Night","Original Tolnay-Beck inventory covers the years 1882-1930","None reported","0","St. Albans (VT) Daily Messenger 10/23/1879, p. 1 (GenealogyBank.com)
Wheeling (WV) Register 10/24/1879, p. 1 (GenealogyBank.com)
Indianapolis (IN) Sentinel 10/24/1879, p. 1 (GenealogyBank.com)
Columbus (GA) Daily Enquirer 10/24/1879, p. 1 (Columbus Historic Newspapers)
Chicago (IL) Inter Ocean 10/30/1879, p. 1 (GenealogyBank.com)","Yes","Not in Wright inventory","lynching","1870"
"4524",4524,"Lynching",1879,10,29,"W. J. Overstreet",NA,NA,NA,"1 of 1","White-Anglo","Male",NA,22111,"Union","LA",22111,"Union","LA","Hanged","Murder of his wife","4","“a large number”",3,NA,"INAP","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918",NA,"05/13/2011","Yes","Williams inventory covers the years 1882-1946","EJI inventory excludes non-black victims",0,"INAP","08/14/2020 16:53:02","INAP","NAACP Thirty Years of Lynching covers the years 1889-1918, with 1919 in appendix","INAP",NA,"According to the Times-Picayune, Overstreet was lynched on Wednesday [29th] for attempting to murder his wife—she’s still alive but with “little hope of recovery”. He came to Union parish recently from Alabama where he had been accused of killing a man. Apparently they had been living with her brother near Mosley’s Bluff. From the Register, “A mob at Farmersville, La., Thursday [30th] night took W. J. Overstreet, a wife murderer from jail and hanged him.” From the Item, “A man named W. J. Overstreet murdered his wife at Farmerville, La., a day or two since, and the citizens of that place took him from the jail yesterday and lynched him.” According to the Observer, “a large number” of men too Overstreet from jail and hanged him on the night of the 29th.","INAP",NA,"W. J. Overstreet, 10/29/1879, Farmerville, Union Parish, White, Murder",NA,"Farmerville","0","None reported",NA,"Recently moved into the area from Alabama
","Night","Original Tolnay-Beck inventory covers the years 1882-1930","None reported","0","New Orleans Item 10/31/1879, p. 4 (GenealogyBank.com)
New Orleans Times-Picayune 11/1/1879, p. 8 (GenealogyBank.com)
New Haven (CN) Register 11/1/1879, p. 1 (GenealogyBank.com)
New York (NY) Herald 11/1/1879, p. 5 (GenealogyBank.com)
Raleigh (NC) Observer 11/4/1879, p. 2 (Newspapers.com)","Yes","INAP","lynching","1870"
"4525",4525,"Lynching",1879,11,2,"E. F. H. Johnson","F. H. Johnson",NA,NA,"1 of 1","White-Anglo","Male",NA,281315,"Sumner","MS",281315,"Sumner","MS","Riddled with bullets","Unknown","16","“large mob”",3,NA,"INAP","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918",NA,"05/13/2011",NA,"Williams inventory covers the years 1882-1964","EJI inventory excludes non-black victims",0,"INAP","08/14/2020 16:53:02","INAP","NAACP Thirty Years of Lynching covers the years 1889-1918, with 1919 in appendix","INAP",NA,"From the Bulletin, “Memphis, Nov. 3.—Details have been received from Greensboro, Chocutam county, Miss., of the assassination of Dr. E. F. H. Johnson, a respectable and inoffensive citizen. A large mob attacked his home with stones and bricks. Dr. Johnson stepped out to a store, a few paces distant, to get a gun, when the mob fired and killed him. Twenty shots were fired.” From the Commercial, “Memphis, Nov. 5. Details have reached here from Greensboro, Choctaw, sounty [sic], Mississippi, of the assassination of Dr. F. H. Johnson, a respectable and inoffensive citizen of that town. A large mob of ruffians called at his residence and attacked the house with stones and bricks. Dr. Johnson endured it until his patience was exhausted, and stepped out to his store, a few paces distant to get a gun, when the mob fired on him and killed him. It is said that nearly twenty shots were fired at him. Law-abiding citizens are making efforts to ferret out the assassins.”

Note: couldn’t find in Atlanta (GA) Historic Newspapers, Columbus (GA) Historic Newspapers, Macon (GA) Historic Newspapers. Originally Greensboro was in Choctaw Co. In 1874 parts of Choctaw Co., including Greensboro, were made into Sumner County; in 1882, Sumner County was renamed Webster Co. in honor of Daniel Webster.","Not in Orr-Klopfer inventory",NA,"INAP",NA,"Greensboro","0","None reported",NA,"No indication of being a stranger or marginalized. A physician.",NA,"Original Tolnay-Beck inventory covers the years 1882-1930","None reported","0","Williamsport (PA) Gazette Bulletin 11/4/1879 p. 1 (Ancestry.com)
Vicksburg Daily Commercial 11/6/1879, p. 1 (GenealogyBank.com)","Yes","INAP","lynching","1870"
"4526",4526,"Lynching",1879,11,16,"John Graham",NA,NA,NA,"1 of 1","Black","Male",NA,28063,"Jefferson","MS",28063,"Jefferson","MS","Hanged","Killing a white man","4","100+",4,NA,"INAP","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918",NA,"09/22/2011","Yes","Williams inventory covers the years 1882-1964","Not in EJI inventory",0,"INAP","04/29/2020 10:19:32","INAP","NAACP Thirty Years of Lynching covers the years 1889-1918, with 1919 in appendix","INAP",NA,"From the Commercial, citing the Fayette Chronicle, “On Wednesday of last week, Gus. Cobb, Jr., son of an old and respected citizen of Jefferson county, residing at Union church [Jefferson Co.], was killed at the gin of Mr. Theodore Berry, some four miles from Union church by blows from a spade in the hands of John Graham colored. The murderer was arrested on Saturday and lodged in the jail at Fayette [Jefferson Co.], and preparations were being made to give him a preliminary examination before a magistrate. On Sunday night, after the hour of twelve, some unknown men, numbering over a hundred strong, came into town, took charge of the sheriff, got possession of the keys, and took Graham from the jail. The next morning his body was found hanging to the old pecan tree on the Sellers’ place, about a mile from town.

Note: couldn’t find other reports in GenealogyBank.com. Since the Commerical was citing the Chronicle, assuming that Sunday was the 16th.","Not in Orr-Klopfer inventory",NA,"INAP",NA,"1 mile from Fayette","0","None reported",NA,"No indication of being a stranger or marginalized","After midnight","Original Tolnay-Beck inventory covers the years 1882-1930","None reported","0","Vicksburg Daily Commercial 11/25/1879, p. 3 (GenealogyBank.com)","Yes","INAP","lynching","1870"
"4527",4527,"Lynching",1879,11,25,"Henry Walker",NA,NA,NA,"1 of 1","Black","Male","24",13153,"Houston","GA",13153,"Houston","GA","Hanged","Burglary","7","12",2,NA,"Brundage inventory covers the years 1880-1930","INAP","INAP","INAP","Chicago Tribune inventory covers the years 1882-1918","Masked","05/13/2011","Yes","Williams inventory covers the years 1882-1950","Henry Walker 11/25/1879, Houston Co., Black, Burglary",0,"INAP","04/29/2020 10:19:32","INAP","NAACP Thirty Years of Lynching covers the years 1889-1918, with 1919 in appendix","INAP",NA,"According to the Constitution, Henry Walker was taken from the guard-house in Ft. Valley and hanged in front of it on the night of the 24th. He had been accused of burglary. From the Sentinel, “A negro charged with burglary, and who confessed that he belong to a gang that has been committing burglaries in several counties, was taken out of jail at Piney, Ga., Monday [24th], and hung to a tree.” From the Telegraph, “... between the hours of twelve and three o’clock, on Tuesday [25th] morning, a party of men came to the guard-house and broke open the door. ... After taking Walker about fifteen steps from the jail, they hanged him to a limb of a tree. The hanging was done in the busiest part of the place, in full view of the hotel an the railroad. When morning came the boy was discovered stark and cold, swinging to the motion of the breeze. The face had no cap over it and from the mouth of the dead man, his tongue protruded several inches, and his eyes were distended in a ghastly manner. At the foot of the three, twelve black masks were lying in a heap, showing the probable number of those present ....”

Note: no Houston Co. newspapers for 1879 available on microfilm. Couldn’t find a “Piney” in the 1895 atlas or in USGS.","INAP",NA,"INAP",NA,"In front of guard-house in Fort Valley","0","None reported",NA,"No indication of being a stranger or marginalized","12:00-3:00 AM","Original Tolnay-Beck inventory covers the years 1882-1930","None reported","0","Atlanta Daily Constitution 11/26/1879, p. 1 (NewspaperArchive.com; Newspapers.com)
Macon Telegraph and Messenger 11/26/1879, p. 4 (Macon Historic Newspapers)
Montgomery (AL) Advertiser 11/26/1879, p. 2 (Newspapers.com)
Columbus Daily Enquirer-Sun 11/27/1879, p. 1 (Georgia Historic Newspapers; NewspaperArchive.com)
Savannah Morning News 11/28/1879, p. 1 (Georgia Historic Newspapers)
Macon Weekly Telegraph 12/2/1879, p. 3, 4 (GenealogyBank.com; Macon Historic Newspapers)","Yes","INAP","lynching","1870"
