Newspapers|LCCN|OCLC|ISSN|State|County|City|Geo Location|Browse Digitized Issues|Number of Issues|First Issue|Last Issue|Essay Available|Languages|Ethnicity
The Kevin Review (Kevin, Mont.) 1922-1929|sn85053343|12861224|2766-1881|Montana|Toole|Kevin|48.744129, -111.966653|https://www.loc.gov/item/sn85053343/?st=calendar|350|1922-09-27|1929-06-06|True|English|
The Key Outpost (U.S. Naval Activities, Key West, Fla.) 1952-19??|sn97027756|36845600|2693-5139|Florida|Monroe|Key West|24.5597511, -81.7837032|https://www.loc.gov/item/sn97027756/?st=calendar|3|1953-01-09|1953-01-23|True|English|
The Key West Citizen (Key West, Fla.) 1879-Current|sn83016244|2701762|2641-6174|Florida|Monroe|Key West|24.5597511, -81.7837032|https://www.loc.gov/item/sn83016244/?st=calendar|7910|1926-02-18|1963-12-31|True|English|
Kimball Enterprise (Kimball, Brule County, Dakota [S.D.]) 188?-1883|sn99068075|41460301|2475-3513|South Dakota|Brule|Kimball|43.742467, -98.960922|https://www.loc.gov/item/sn99068075/?st=calendar|18|1883-04-13|1883-08-10|True|English|
The Kimball Graphic (Kimball, Brule County, Dakota [S.D.]) 1883-1905|sn99068076|41460235|2475-353x|South Dakota|Brule|Kimball|43.742467, -98.960922|https://www.loc.gov/item/sn99068076/?st=calendar|917|1883-08-17|1905-08-04|True|English|
Kingsbury County Independent (Desmet, Kingsbury County, S.D.) 1894-1929|sn00065130|43479308|2766-7995|South Dakota|Kingsbury|Desmet|44.38747, -97.55035|https://www.loc.gov/item/sn00065130/?st=calendar|379|1904-05-20|1911-10-06|True|English|
The Kingwood Chronicle (Kingwood, Va. [W. Va.]) 1861-1861|sn86092243|13181824|2768-7031|West Virginia|Preston|Kingwood|39.4719851, -79.6836468|https://www.loc.gov/item/sn86092243/?st=calendar|28|1861-01-26|1861-08-17|True|English|
The Kinsley Graphic (Kinsley, Kan.) 1890-1940|sn84029671|11135068|2329-2385|Kansas|Edwards|Kinsley|37.9228437, -99.4098693|https://www.loc.gov/item/sn84029671/?st=calendar|738|1890-05-23|1904-07-29|True|English|
The Knapsack (Gauley Bridge, W. Va.) 1863-1863|sn85059623|12776081|2640-2092|West Virginia|Fayette|Gauley Bridge|38.1643615, -81.1968776|https://www.loc.gov/item/sn85059623/?st=calendar|6|1863-09-03|1863-11-05|True|English|
The Knik News (Knik, Alaska) 1914-1915|2019271002|537584853|2993-6675|Alaska||Knik|61.457778, -149.728889|https://www.loc.gov/item/2019271002/?st=calendar|5|1915-01-09|1915-05-01|True|English|
Knoxville Daily Chronicle (Knoxville, Tenn.) 1870-1882|sn85033437|11984961|2166-5923|Tennessee|Knox|Knoxville|35.9626444, -83.9167239|https://www.loc.gov/item/sn85033437/?st=calendar|2011|1870-05-11|1882-12-31|True|English|
The Knoxville Independent (Knoxville, Tenn.) 1894-Current|sn85042907|12960996|2473-3113|Tennessee|Knox|Knoxville|35.9626444, -83.9167239|https://www.loc.gov/item/sn85042907/?st=calendar|144|1911-05-20|1919-10-11|True|English|
Knoxville Journal (Knoxville, Iowa) 1874-1986|sn82015854|8814960|2643-7511|Iowa|Marion|Knoxville|41.320727, -93.109494|https://www.loc.gov/item/sn82015854/?st=calendar|140|1874-06-11|1877-02-14|True|English|
The Knoxville Negro World (Knoxville, Tenn.) 1887-1888|sn83025748|9773383|2996-6574|Tennessee|Knox|Knoxville|35.9626444, -83.9167239|https://www.loc.gov/item/sn83025748/?st=calendar|1|1887-11-26|1887-11-26|True|English|African American
Knoxville Tri-Weekly Whig and Rebel Ventilator (Knoxville, Tenn.) 1864-1866|sn85071003|13017279|2166-7675|Tennessee|Knox|Knoxville|35.9626444, -83.9167239|https://www.loc.gov/item/sn85071003/?st=calendar|2|1864-07-26|1864-07-29|True|English|
Knoxville Weekly Chronicle (Knoxville, Tenn.) 1870-1875|sn85033438|11984938|2166-5958|Tennessee|Knox|Knoxville|35.9626444, -83.9167239|https://www.loc.gov/item/sn85033438/?st=calendar|239|1870-04-06|1875-02-24|True|English|
Knoxville Whig and Chronicle (Knoxville, Tenn.) 1875-1882|sn85042534|12633764|2166-5974|Tennessee|Knox|Knoxville|35.9626444, -83.9167239|https://www.loc.gov/item/sn85042534/?st=calendar|43|1875-03-03|1875-12-29|True|English|
Kodiak Mirror (Kodiak, Alaska) 1940-1976|sn83045298|9427149|2771-0416|Alaska||Kodiak|57.789894, -152.407034|https://www.loc.gov/item/sn83045298/?st=calendar|1035|1940-06-15|1963-12-20|True|English|
Kootenai County Republican (Rathdrum, Idaho) 1899-1903|sn89055035|19130939|2575-0631|Idaho|Kootenai, Bonner|Sandpoint, Rathdrum|47.806361, -116.893975|https://www.loc.gov/item/sn89055035/?st=calendar|158|1899-05-26|1902-05-30|True|English|
The Kootenai Herald (Kootenai, Idaho) 1891-1904|sn86091083|13089627|2637-5745|Idaho|Boundary, Kootenai|Bonners Ferry, Kootenai|48.309071, -116.516621|https://www.loc.gov/item/sn86091083/?st=calendar|703|1891-07-11|1904-12-24|True|English|
Kosciusko Chronicle (Kosciusko, Miss.) 1846-1872|sn83016940|10232246|2469-651x|Mississippi|Attala|Kosciusko|33.058598, -89.589876|https://www.loc.gov/item/sn83016940/?st=calendar|30|1846-01-03|1892-10-14|True|English|
The Kosciusko Star (Kosciusko, Miss.) 18??-1898|sn87065300|15581637|2469-6552|Mississippi|Attala|Kosciusko|33.058598, -89.589876|https://www.loc.gov/item/sn87065300/?st=calendar|53|1894-07-13|1895-12-27|True|English|
The Kusko Times (McGrath, Alaska) 1921-19??|sn95063172|33430620|2993-6187|Alaska||Takotna, Tokotna, McGrath|62.94937, -155.571992|https://www.loc.gov/item/sn95063172/?st=calendar|718|1921-01-19|1937-12-10|True|English|
The L'anse Sentinel (L'anse, L.S., Mich.) 18??-Current|sn96077142|35732277|2572-0384|Michigan|Baraga|L'anse|46.7500306, -88.4437386|https://www.loc.gov/item/sn96077142/?st=calendar|1721|1890-09-27|1924-03-07||English|
L'araldo = the Herald (Cleveland, Ohio) 1938-1959|sn83035602|10094919||Ohio|Cuyahoga|Cleveland|41.5051414, -81.6914575|https://www.loc.gov/item/sn83035602/?st=calendar|564|1942-12-04|1953-11-20|True|English, Italian|Italian
L'indipendente (New Haven, Conn.) 1903-193?|sn93053873|27774408|2643-3095|Connecticut|New Haven|New Haven|41.3082517, -72.9241605|https://www.loc.gov/item/sn93053873/?st=calendar|51|1907-01-01|1936-05-23|True|English, Italian|Italian
L'italia (San Francisco, Calif.) 1887-1943|sn85066408|13073199|2637-5400|California|San Francisco|San Francisco|37.7800771, -122.4201615|https://www.loc.gov/item/sn85066408/?st=calendar|6499|1897-01-25|1919-12-31||Italian|Italian
L'union (Nouvelle-Orléans [La.]) 1862-1864|sn83026401|9990651|2835-8872|Louisiana|Orleans|New Orleans|29.9517634, -90.0746168|https://www.loc.gov/item/sn83026401/?st=calendar|101|1862-09-27|1864-07-19|True|English, French|African American
La Correspondencia De Puerto Rico (San Juan, P.R.) 1890-1943|sn91099747|23812209|2576-6260|Puerto Rico||San Juan|18.466302, -66.105229|https://www.loc.gov/item/sn91099747/?st=calendar|6526|1890-12-25|1910-12-31|True|Spanish|
La Crónica (Los Angeles, Calif.) 1872-1892|sn84025126|11447729|2574-4577|California|Los Angeles|Los Angeles|34.052238, -118.243344|https://www.loc.gov/item/sn84025126/?st=calendar|631|1872-05-04|1889-07-27||English, Spanish|Latin American
La Crónica (San Francisco, Calif.) 1914-1917|sn87056985|15117689|2693-2040|California|San Francisco|San Francisco|37.7800771, -122.4201615|https://www.loc.gov/item/sn87056985/?st=calendar|117|1914-04-25|1917-04-08||Spanish|Latin American
La Democracia (Ponce, P.R.) 1890-1948|sn90070270|22865427|2475-4471|Puerto Rico||San Juan, Caguas, Ponce|18.0126282, -66.6260381|https://www.loc.gov/item/sn90070270/?st=calendar|4244|1891-07-07|1907-12-31|True|Spanish|
La Gaceta (Tampa, Fla.) 1922-Current|sn86002403|1445676|0016-3724|Florida|Hillsborough|Tampa, Ybor City|27.963821, -82.43552|https://www.loc.gov/item/sn86002403/?st=calendar|7687|1926-01-02|1952-12-31|True|English, Italian, Spanish|Cuban, Latin American, Italian
The La Jara Chronicle (La Jara, Conejos County, Colo.) 1896-19??|sn90051015|20952212|2770-5315|Colorado|Conejos|La Jara|37.275229, -105.961824|https://www.loc.gov/item/sn90051015/?st=calendar|365|1904-10-14|1911-12-22|True|English|
La Junta Tribune (La Junta, Bent County, Colo.) 1881-1939|sn90051267|21427231|2578-2800|Colorado|Otero, Bent|La Junta|37.977093, -103.544031|https://www.loc.gov/item/sn90051267/?st=calendar|1494|1898-01-01|1917-12-27|True|English|
La Justice De Biddeford (Biddeford, Me.) 1907-195?|sn90000524|23877082|1053-5187|Maine|York|Biddeford|43.482944, -70.471358|https://www.loc.gov/item/sn90000524/?st=calendar|1|1911-10-12|1911-10-12||French|French
La Libera Parola (Philadelphia, Pa.) 1918-1969|sn85055164|12632841|2373-373x|Pennsylvania|Philadelphia|Philadelphia|39.9510605, -75.1656204|https://www.loc.gov/item/sn85055164/?st=calendar|240|1918-04-20|1922-12-23|True|English, Italian|Italian
La Libert'a (Providence, R.I.) 190?-19??|sn92063917|25119004||Rhode Island|Providence|Providence|41.824461, -71.412747|https://www.loc.gov/item/sn92063917/?st=calendar|383|1902-07-05|1909-12-25||English, Italian|Italian
La Nostra Terra (Hurley, Wis.) 1904-191?|sn85040650|12094198|2768-4776|Wisconsin|Iron|Hurley|46.449855, -90.181805|https://www.loc.gov/item/sn85040650/?st=calendar|120|1904-01-23|1911-12-23|True|English, Italian|Italian
La Opinión (Los Angeles, Calif.) 1926-Current|sn81004351|6401875|0276-590x|California|Los Angeles|Los Angeles|34.052238, -118.243344|https://www.loc.gov/item/sn81004351/?st=calendar|5420|1926-09-18|1942-06-30||Spanish|Latin American
La Prensa (Los Angeles, Calif.) 1912-1924|sn83045394|9447574|2693-7840|California|Los Angeles|Los Angeles|34.052238, -118.243344|https://www.loc.gov/item/sn83045394/?st=calendar|202|1917-12-08|1922-01-19||Spanish|Latin American
La Prensa (San Antonio, Tex.) 1913-1962|sn83045395|9505681|2577-3321|Texas|Bexar|San Antonio|29.4251712, -98.494614|https://www.loc.gov/item/sn83045395/?st=calendar|3065|1913-02-13|1922-12-31|True|Spanish|Mexican, Latin American
La Ragione (Philadelphia, Pa.) 1917-????|sn84037024|10916544|2372-9872|Pennsylvania|Philadelphia|Philadelphia|39.9510605, -75.1656204|https://www.loc.gov/item/sn84037024/?st=calendar|40|1917-04-25|1917-08-23|True|Italian|Italian
La Rassegna (Philadelphia, Pa.) 1917-????|sn84037025|10916483|2372-9910|Pennsylvania|Philadelphia|Philadelphia|39.9510605, -75.1656204|https://www.loc.gov/item/sn84037025/?st=calendar|25|1917-04-07|1917-08-25|True|English, Italian|Italian
La Revista De Taos and the Taos Cresset (Taos, Nuevo México) 1905-1905|sn93061743|29516822|2375-7388|New Mexico|Taos|Taos|36.4072455, -105.5733784|https://www.loc.gov/item/sn93061743/?st=calendar|42|1905-01-21|1905-11-04|True|English, Spanish|Latin American
La Revista De Taos and the Taos Valley News (Taos, Nuevo México) 190?-1905|sn94056834|29950094|2375-7345|New Mexico|Taos|Taos|36.4072455, -105.5733784|https://www.loc.gov/item/sn94056834/?st=calendar|2|1905-01-07|1905-01-14|True|Spanish|Latin American
La Revista De Taos (Taos, Nuevo México) 1905-1922|sn83045398|9449309|2375-740x|New Mexico|Taos|Taos|36.4072455, -105.5733784|https://www.loc.gov/item/sn83045398/?st=calendar|594|1905-11-11|1922-10-06|True|English, Spanish|Latin American
La Revue (Augusta, Me.) 191?-191?|sn93066937|27801260||Maine|Kennebec|Augusta, Waterville|44.5528386, -69.6313087|https://www.loc.gov/item/sn93066937/?st=calendar|1|1911-10-29|1911-10-29||French|French
La Revue (Waterville, Me.) 1911-191?|sn93066938|27801348||Maine|Kennebec|Waterville|44.5528386, -69.6313087|https://www.loc.gov/item/sn93066938/?st=calendar|1|1911-10-01|1911-10-01||French|French
La Sentinella = the Sentinel (Bridgeport, Conn.) 191?-1948|sn84020351|10652874|2643-5098|Connecticut|Fairfield|Bridgeport|41.179195, -73.189476|https://www.loc.gov/item/sn84020351/?st=calendar|1209|1920-04-17|1948-09-10|True|English, Italian|Italian
La Sentinella Del West Virginia (Thomas, W. Va.) 1905-1913|sn86092310|13261125|2473-4918|West Virginia|Tucker|Thomas|39.147875, -79.498765|https://www.loc.gov/item/sn86092310/?st=calendar|53|1911-02-18|1912-05-11|True|Italian|Italian
La Sentinelle De Thibodaux (Thibodaux, La.) 1861-1866|sn86053854|14583208|2377-9241|Louisiana|Lafourche|Thibodaux|29.7957479, -90.822457|https://www.loc.gov/item/sn86053854/?st=calendar|89|1863-02-07|1866-06-02|True|English, French|French
La Tribuna Del Connecticut (Bridgeport, Conn.) 1906-1908|sn92051386|26498347|2643-5306|Connecticut|Fairfield|Bridgeport|41.179195, -73.189476|https://www.loc.gov/item/sn92051386/?st=calendar|130|1906-03-03|1908-12-09|True|English, Italian|Italian
La Verita' = the Truth (Waterbury, Conn.) 191?-1939|sn95063190|34067663|2995-892x|Connecticut|New Haven|Waterbury|41.5542609, -73.0430692|https://www.loc.gov/item/sn95063190/?st=calendar|655|1926-02-27|1939-07-07|True|English, Italian|Italian
La Verita, Corriere Del Connecticut (New Haven, Conn.) 1939-195?|sn95063191|34067995|2995-8946|Connecticut|New Haven|New Haven|41.3082517, -72.9241605|https://www.loc.gov/item/sn95063191/?st=calendar|386|1939-07-21|1946-12-27|True|English, Italian|Italian
La Voz Del Pueblo (Tucson, Ariz.) 194?-194?|sn96060591|36378130||Arizona|Pima|Tucson|32.221878, -110.971225|https://www.loc.gov/item/sn96060591/?st=calendar|1|1944-06-03|1944-06-03|True|Spanish|Latin American
La Voz Del Pueblo (Phoenix, Ariz.) 1950-195?|sn96060592|36378144||Arizona|Maricopa|Phoenix|33.448204, -112.0725848|https://www.loc.gov/item/sn96060592/?st=calendar|76|1950-09-08|1952-06-06|True|Spanish|Latin American
La Voz Del Pueblo (Santa Fe, Nuevo México; Las Vegas, N.M.) 1889-192?|sn83045436|9463837|2375-8740|New Mexico|San Miguel, Santa Fe|Las Vegas, Santa Fe., Santa Fe|35.692133, -105.939593|https://www.loc.gov/item/sn83045436/?st=calendar|1024|1891-01-03|1919-12-27|True|Spanish|Latin American
La Voz Latina De Arizona (Phoenix, Ariz.) 1936-1936|sn96060595|36244671||Arizona|Maricopa|Phoenix|33.448204, -112.0725848|https://www.loc.gov/item/sn96060595/?st=calendar|3|1936-02-05|1936-04-04|True|English, Spanish|Latin American
The Labor Advocate (Cincinnati, Ohio) 1912-1937|sn88077379|10364287|2157-6483|Ohio|Hamilton|Cincinnati|39.12711, -84.51439|https://www.loc.gov/item/sn88077379/?st=calendar|103|1915-07-17|1917-06-30|True|English|
The Labor Advocate (Providence, R.I.) 1912-1915|sn92063933|25249486|2998-3479|Rhode Island|Providence|Providence|41.824461, -71.412747|https://www.loc.gov/item/sn92063933/?st=calendar|153|1912-08-31|1915-10-09|True|English|
The Labor Argus (Charleston, W. Va.) 1906-1915|sn85059855|12926141|2471-2213|West Virginia|Kanawha|Charleston|38.351194, -81.638362|https://www.loc.gov/item/sn85059855/?st=calendar|264|1906-05-24|1911-12-28|True|English|
Labor Citizen (Miami, Fla.) 1956-19??|sn95047212|33315900||Florida|Dade|Miami|25.775084, -80.194702|https://www.loc.gov/item/sn95047212/?st=calendar|149|1956-04-12|1959-03-13|True|English|
The Labor Enquirer (Denver, Colo.) 1882-1888|sn83025510|2263388|2770-5234|Colorado|Denver|Denver|39.738453, -104.984853|https://www.loc.gov/item/sn83025510/?st=calendar|250|1882-12-16|1888-05-05|True|English|
The Labor Herald (Richmond, Va.) 1885-18??|sn96096625|35447882|2163-8039|Virginia||Richmond|37.540759, -77.433932|https://www.loc.gov/item/sn96096625/?st=calendar|17|1886-03-13|1886-07-17|True|English|
The Labor Journal (Everett, Wash.) 1909-1976|sn88085620|18036796|2328-4013|Washington|Snohomish|Everett|47.97913, -122.195893|https://www.loc.gov/item/sn88085620/?st=calendar|707|1909-01-07|1922-12-29|True|English|
The Labor Review (Williamson, W. Va.) 1936-19??|sn86092082|13048027||West Virginia|Mingo|Williamson|37.672416, -82.27588|https://www.loc.gov/item/sn86092082/?st=calendar|1|1936-05-15|1936-05-15||English|
The Labor Standard (Hartford, Conn.) 1908-192?|sn92051523|26901132|2643-3168|Connecticut|Hartford|Hartford|41.765775, -72.673356|https://www.loc.gov/item/sn92051523/?st=calendar|11|1910-01-01|1922-02-15|True|English|
The Labor World (Duluth, Minn.) 1896-Current|sn78000395|1696219|0023-6667|Minnesota|Saint Louis|Duluth|46.7828363, -92.1055136|https://www.loc.gov/item/sn78000395/?st=calendar|1348|1896-04-11|1922-12-30|True|English|
The Laclede Blade (Laclede, Mo.) 1890-1945|sn89066129|19609311|2378-5187|Missouri|Linn|Laclede|39.789325, -93.174078|https://www.loc.gov/item/sn89066129/?st=calendar|1010|1902-07-12|1922-12-22|True|English|
Ladies' Enterprise (Manchester, N.H.) 1854-18??|sn90062523|22682961||Massachusetts|Suffolk|Boston|42.3589942, -71.0586293|https://www.loc.gov/item/sn90062523/?st=calendar|47|1854-12-16|1855-12-29||English|
The Ladies' Garland (Harpers-Ferry, Va. [W. Va.]) 1824-1828|sn85059803|11283681|2995-1453|West Virginia|Jefferson|Harpers Ferry|39.324525, -77.739719|https://www.loc.gov/item/sn85059803/?st=calendar|208|1824-02-14|1828-06-07|True|English|
The Ladysmith News (Ladysmith, Wis.) 1905-1905|sn85040221|11667841|2768-4938|Wisconsin|Rusk|Ladysmith|45.462238, -91.090448|https://www.loc.gov/item/sn85040221/?st=calendar|7|1905-03-11|1905-04-22|True|English|
Ladysmith News (Ladysmith, Wis.) 1906-1907|sn85040223|11668022|2768-4970|Wisconsin|Rusk|Ladysmith, Ingram|45.506383, -90.812014|https://www.loc.gov/item/sn85040223/?st=calendar|40|1906-07-07|1907-04-06|True|English|
The Ladysmith News and Ingram News (Ladysmith, Wis.) 1905-1906|sn85040222|11667931|2768-4954|Wisconsin|Rusk|Ladysmith, Ingram|45.506383, -90.812014|https://www.loc.gov/item/sn85040222/?st=calendar|61|1905-04-29|1906-06-30|True|English|
Ladysmith News-Budget (Ladysmith, Rusk County, Wis.) 1907-1927|sn85040245|11711979|2768-508x|Wisconsin|Rusk|Ladysmith|45.462238, -91.090448|https://www.loc.gov/item/sn85040245/?st=calendar|822|1907-04-11|1922-12-29|True|English|
The Lafayette Advertiser (Vermilionville [i.e. Lafayette], La.) 1865-19??|sn86079068|13155858|2329-4205|Louisiana|Lafayette|Vermilionville, Lafayette|30.22126, -92.018773|https://www.loc.gov/item/sn86079068/?st=calendar|1693|1869-01-02|1914-04-21|True|English, French|
The Lafayette Gazette (Lafayette, La.) 1893-1921|sn88064111|17500255|2163-6338|Louisiana|Lafayette|Lafayette|30.22126, -92.018773|https://www.loc.gov/item/sn88064111/?st=calendar|589|1893-03-11|1903-12-26|True|English|
Lake Charles Commercial (Lake Charles, Calcasieu Parish, La.) 1881-1898|2013271051|41132284|2381-5191|Louisiana|Calcasieu|Lake Charles|30.2292887, -93.2171107|https://www.loc.gov/item/2013271051/?st=calendar|832|1881-07-09|1897-06-12|True|English|
The Lake Charles Echo (Lake Charles, Parish of Calcasieu, La.) 1876-1898|sn86053696|14202524|2381-5248|Louisiana|Calcasieu|Lake Charles|30.2292887, -93.2171107|https://www.loc.gov/item/sn86053696/?st=calendar|857|1876-06-01|1894-12-21|True|English|
The Lake County Star (Chase, Mich.) 1873-Current|sn85026421|12219612|2472-0178|Michigan|Lake|Baldwin|43.8979978, -85.8516436|https://www.loc.gov/item/sn85026421/?st=calendar|689|1873-05-01|1889-09-12|True|English|
The Lake County Times (Hammond, Ind.) 1906-1933|sn86058242|15306883|2474-5502|Indiana|Lake|Hammond|41.604595, -87.508921|https://www.loc.gov/item/sn86058242/?st=calendar|3944|1906-06-18|1922-12-30|True|English|
The Lakeland Evening Telegram (Lakeland, Fla.) 1911-1922|sn95047222|33414061|2574-5670|Florida|Polk|Lakeland|28.0441545, -81.948966|https://www.loc.gov/item/sn95047222/?st=calendar|3066|1911-11-01|1922-08-31|True|English|
The Lamar Register (Lamar, Colo.) 1889-1952|sn86063147|13179692|2577-4093|Colorado|Prowers|Lamar|38.0860924, -102.618982|https://www.loc.gov/item/sn86063147/?st=calendar|1753|1889-03-30|1923-05-23|True|English|
The Lambertville Press (Lambertville, N.J.) 1858-1???|sn85035610|11977096|2835-415x|New Jersey|Hunterdon|Lambertville|40.366077, -74.942846|https://www.loc.gov/item/sn85035610/?st=calendar|155|1858-11-04|1861-10-30|True|English|
The Lambertville Record (Lambertville, N.J.) 1872-1968|sn84026089|10283228|2835-219x|New Jersey|Hunterdon|Lambertville|40.366077, -74.942846|https://www.loc.gov/item/sn84026089/?st=calendar|2767|1872-09-24|1926-12-30|True|English|
The Lamoille News (Hyde Park, Vt.) 1877-1881|sn87091094|16917802|2376-8304|Vermont|Lamoille|Hyde Park|44.593002, -72.61145|https://www.loc.gov/item/sn87091094/?st=calendar|96|1877-04-18|1880-12-29|True|English|
Lamoille Newsdealer (Hyde Park, Vt.) 1860-1877|sn84023428|10868251|2376-8320|Vermont|Lamoille|Hyde Park|44.593002, -72.61145|https://www.loc.gov/item/sn84023428/?st=calendar|722|1860-11-30|1874-12-30|True|English|
Lancaster Daily Intelligencer (Lancaster, Pa.) 1864-1928|sn83032300|10246720|2158-2688|Pennsylvania|Lancaster|Lancaster|40.039401, -76.307078|https://www.loc.gov/item/sn83032300/?st=calendar|2976|1880-01-01|1890-08-01|True|English|
Lancaster Enterprise (Lancaster, S.C.) 1891-1905|sn93067757|28173734|2472-8977|South Carolina|Lancaster|Lancaster|34.721206, -80.7712554|https://www.loc.gov/item/sn93067757/?st=calendar|445|1897-04-14|1904-03-16|True|English|
The Lancaster Gazette (Lancaster, Ohio) 1863-1886|sn84024207|11220917|2372-5354|Ohio|Fairfield|Lancaster|39.713651, -82.599281|https://www.loc.gov/item/sn84024207/?st=calendar|334|1863-06-18|1870-06-30|True|English|
The Lancaster Gazette (Lancaster, Ohio) 1846-1852|sn87070038|15803086|2374-6025|Ohio|Fairfield|Lancaster|39.713651, -82.599281|https://www.loc.gov/item/sn87070038/?st=calendar|252|1847-07-02|1852-04-22|True|English|
Lancaster Gazette (Lancaster, Mass.) 1828-1830|sn83020243|9313811|2996-1343|Massachusetts|Worcester|Lancaster|42.457067, -71.673784|https://www.loc.gov/item/sn83020243/?st=calendar|88|1828-03-04|1830-04-13|True|English|
The Lancaster Ledger (Lancaster, S.C.) 1852-1905|sn84026900|10735093|2472-9027|South Carolina|Lancaster|Lancaster|34.721206, -80.7712554|https://www.loc.gov/item/sn84026900/?st=calendar|1699|1852-02-12|1905-09-30|True|English|
The Lancaster News (Lancaster, S.C.) 1905-Current|sn83007465|9420408|0745-7421|South Carolina|Lancaster|Lancaster|34.721206, -80.7712554|https://www.loc.gov/item/sn83007465/?st=calendar|951|1905-10-04|1922-03-17|True|English|
Lander Evening Post (Lander, Wyo.) 1918-1941|sn92067094|25971418||Wyoming|Fremont|Lander|42.833985, -108.735253|https://www.loc.gov/item/sn92067094/?st=calendar|362|1921-10-01|1927-05-03||English|
The Langston City Herald (Langston City, O.T. [Okla.]) 1891-1902|sn83025050|9227089|2158-8929|Oklahoma|Logan|Langston, Guthrie|35.880122, -97.425319|https://www.loc.gov/item/sn83025050/?st=calendar|67|1892-11-17|1900-01-27|True|English|African American
The Lansing State Republican (Lansing, Mich.) 1855-1875|sn83016318|9715679|2472-0194|Michigan|Ingham|Lansing|42.733625, -84.553927|https://www.loc.gov/item/sn83016318/?st=calendar|395|1859-01-04|1866-08-29|True|English|
The Laramie Republican (Laramie, Wyo.) 18??-1923|sn92066979|25575503|2997-1330|Wyoming|Albany|Laramie|41.3110259, -105.5936061|https://www.loc.gov/item/sn92066979/?st=calendar|7116|1891-09-04|1923-09-29|True|English|
The Laramie Republican (Laramie, Wyo.) 18??-1915|sn92066980|25575373|2997-1209|Wyoming|Albany|Laramie|41.3110259, -105.5936061|https://www.loc.gov/item/sn92066980/?st=calendar|481|1891-09-03|1915-06-05|True|English|
The Laramie Republican (Laramie, Wyo.) 1908-1923|sn92066981|25575346|2997-1012|Wyoming|Albany|Laramie|41.3110259, -105.5936061|https://www.loc.gov/item/sn92066981/?st=calendar|1222|1908-08-05|1924-01-30|True|English|
Laredo Daily News (Laredo, Tex.) 1881-????|sn88083591|17997298||Texas|Webb|Laredo|27.5071293, -99.5074957|https://www.loc.gov/item/sn88083591/?st=calendar|8|1893-06-05|1895-04-17||English|
The Laredo Times (Laredo, Tex.) 192?-1982|sn86089568|14393578||Texas|Webb|Laredo|27.5071293, -99.5074957|https://www.loc.gov/item/sn86089568/?st=calendar|2164|1935-01-02|1941-12-31||English, Spanish|Mexican
Laredo Weekly (Laredo, Tex.) 19??-????|sn88083645|18042371||Texas|Webb|Laredo|27.5071293, -99.5074957|https://www.loc.gov/item/sn88083645/?st=calendar|52|1928-01-06|1928-12-28||English|
Laredo Weekly Times (Laredo, Tex.) 188?-19??|sn86089566|14393537||Texas|Webb|Laredo|27.5071293, -99.5074957|https://www.loc.gov/item/sn86089566/?st=calendar|827|1908-01-26|1926-06-27||English|
Las Dos Repúblicas (Tucson, Ariz.) 1877-1879|sn95062653|32749449||Arizona|Pima|Tucson|32.221878, -110.971225|https://www.loc.gov/item/sn95062653/?st=calendar|39|1877-05-13|1879-02-08|True|Spanish|Latin American
Las Nuevas De La Estancia (Estancia, Nuevo Méjico) 1904-1908|sn93061467|27194574|2379-0199|New Mexico|Torrance|Estancia|34.768607, -106.055258|https://www.loc.gov/item/sn93061467/?st=calendar|116|1904-10-21|1908-04-03|True|Spanish|Latin American
Las Vegas Age (Las Vegas, Nev.) 1905-1947|sn86076141|13754433|2766-4791|Nevada|Clark, Lincoln|Las Vegas|36.1690921, -115.1405767|https://www.loc.gov/item/sn86076141/?st=calendar|994|1905-08-19|1947-11-30|True|English|
Las Vegas Daily Gazette ([Las Vegas, N.M.]) 1881-1886|sn90051703|22419209|2375-6195|New Mexico|San Miguel|Las Vegas|35.598521, -105.218849|https://www.loc.gov/item/sn90051703/?st=calendar|1118|1881-06-28|1886-05-02|True|English|
Las Vegas Daily Optic (Las Vegas, N.M.) 1880-1908|sn86063592|7880976|2472-1816|New Mexico|San Miguel|Las Vegas|35.598521, -105.218849|https://www.loc.gov/item/sn86063592/?st=calendar|2462|1896-03-06|1907-04-29|True|English|
Las Vegas Free Press (East Las Vegas, N.M.) 1891-1???|sn96061021|34470723|2330-376x|New Mexico|San Miguel|Las Vegas|35.598521, -105.218849|https://www.loc.gov/item/sn96061021/?st=calendar|266|1892-01-02|1892-11-18|True|English|
Las Vegas Gazette (Las Vegas, N.M.) 1872-18??|sn84027457|11156592|2375-6233|New Mexico|San Miguel|Las Vegas|35.598521, -105.218849|https://www.loc.gov/item/sn84027457/?st=calendar|248|1872-10-05|1878-12-28|True|English, Spanish|
The Las Vegas Gazette (Las Vegas [N.M.]) 1886-1886|sn93061633|27941671|2375-7108|New Mexico|San Miguel|Las Vegas|35.598521, -105.218849|https://www.loc.gov/item/sn93061633/?st=calendar|30|1886-05-03|1886-06-06|True|English|
Las Vegas Morning Gazette (Las Vegas, N.M.) 18??-1881|sn93061631|27941591|2375-7124|New Mexico|San Miguel|Las Vegas|35.598521, -105.218849|https://www.loc.gov/item/sn93061631/?st=calendar|191|1880-09-16|1881-06-26|True|English|
